Question,Answer
What approach did the political parties in Pakistan take towards peace in the tribal region?,They aimed to bring peace through dialogue rather than armed action.
What is the US government's stance towards Pakistan's peace accords with the tribesmen?,The US government has decried the peace accords and advocated for a decisive military push instead.
What is the root cause of the Muslims' resentment towards the West and militancy?,The root causes are past and present discrimination they have suffered.
What was the purpose of the Charter of Democracy?,Nawaz Sharif and late Benazir Bhutto were going to sign the Charter of Democracy.
How did Nawaz Sharif react to a few members of the PML N team showing reservations in signing the Charter of Democracy?,Nawaz Sharif thought for a long time and then decided to sign the charter despite any personal feelings.
What was the alleged Minus one Formula conspiracy?,It was a conspiracy to block the restoration of deposed Chief Justice Iftikhar Muhammad Chaudhry to keep Musharraf for a full term of five years and to marginalize Nawaz Sharif and exclude PML N from the coalition in the center by making a new coalition between PPP ANP MQM and PML Q.
What airlines did the author use to fly from Islamabad to Nairobi via Dubai and what was the price difference between economy and club class?,The author used PIA and Kenya Airlines to fly from Islamabad to Nairobi via Dubai club class for the price of economy Islamabad Dubai PIA and Dubai Nairobi Kenya Airlines.
"What is the temperature like in Kenya during early April, which is technically the beginning of Autumn?",Technically it is the beginning of Autumn but the temperature in Kenya during early April does not exceed 20C and is a bit nippy but pleasantly so.
What is the main issue that Kenyans face in their country?,The deeper problem in Kenya is corruption and the ministries are regarded as spoils up for grabs by both sides. This is causing issues like poverty to remain unattended.
What is the proposed constitutional package that may be introduced in parliament soon?,"It may contain provisions curtailing the powers of the president, incorporating a package of judicial reforms, and strengthening provincial autonomy."
Why do some people advocate for changing the basic structure of the 1973 constitution to make the provinces independent?,They wrongly believe that this is in consonance with the original idea contained in the 1940 Lahore Resolution.
What is the surest way to make a federation stronger?,To give more powers to the provinces while only keeping matters of federal interest with the center.
What kind of perspective does the western media report on the war in Afghanistan?,"The western media reports the progress on the war in its own perspective, at times oblivious of the ground realities."
How did the media's sweeping statements about the war in Afghanistan affect the coalition forces and Pakistan's relationship?,The media's sweeping statements caused damage to the confidence and trust enjoyed between the coalition forces and the most NonNATO ally Pakistan.
